,address,amount,percentOfTotal
194,9fJpZDZMQ5jiLVXSjuraGcCvdxpnrEj4x8jvMGr8Rqq5APDYNKi,33100.0,0.00331
195,9gZttg88EpGmgP1FZAAK94wjBF7tNxd1GTyPpybcinnDFDzgRWd,33090.0,0.003309
196,9g7BvXjvwakomhtgzkywtqqd9SX3n6NnB5D8QC7oKCA6tKJHxJX,33073.187581,0.0033073187581
197,9hUkx324WfHdCVG7NE17xmpmUG5K8mxCEArkifChscjAPehssGV,33060.0,0.003306
198,9fDt3zrS48tYnbdL5QHQx6GwCbanZFuSsTVGkGjATv6Worp9J7a,33000.0,0.0033
199,9gbd55N8MyUbgjsgBKFvEQ93nM51JTuA25Y3aDY5kijk8KfofWF,32933.0,0.0032933
200,9fZnHXMNNvQksUxwBCwHteMjexvym7jeLT5crUUZSMzSqLW8yix,32869.0,0.0032869
201,9fikXVk3eofPKXgwkY9g4cH8tW1dCzb2DEwEhBwSugo7SMjrqk2,32869.0,0.0032869
202,9h5KEQaphnGciQDaoZm7a1mUYQDXzsViWTg2iHgqf569uSPnvVV,32869.0,0.0032869
203,9iD7DNgEBqkW9Bbc997KbRet6eeHD6LzVDAqT6M4Tb2ufKjE9DF,32736.0,0.0032736
204,9gCksLxxMGxtz3cVPZqM2yeVVvhkK6SqScgR7LvpbdQWLvjCgp6,32626.285167,0.0032626285167
205,9gyEQQFJ8MPvX246UDKbfRgbff3PBkgu2Cyg1urizdiEqDQ7yqm,32569.0,0.0032569
206,9guVpL3n1HtyMMsfKxy2GPZFcn6AsgosYuMzYcrBbFKmHkPYxpx,32090.0,0.003209
207,9gBDg6Dk3wAiSk9VnLCGbev5GZPJAEhF7j6BsCToS4NyHpP1sy7,32066.0,0.0032066
208,9hvEqPrepAjwh7zJgFGFSnMaDK1McP7j9KdtY3S3ZQQBGBSNw1c,32000.449536,0.0032000449536
209,9iJo4Sv85DY3wQLs7evvvBRuEAJbSMGK3bPSXKU3VqPHqmHjpX8,31733.0,0.0031733
210,9eg4pTooKSvQvfCvcgQZERaS8gkee6Kzm8g9ESG5FxnhgtugQCM,31490.0,0.003149
211,9hjT5nj9gj2NwBtEJHBGpwKdcNntCsJ8oTV3hNQmmZwvigTVoqt,31482.982520999998,0.0031482982521
212,9hgyJ5jzYSQtAQHGTg1rifRdEpDxWEAHQtg7p1Unqp8jaTpRsV3,31399.0,0.0031399
213,9i3jAcn9Q6jJCVh1uQvUTesPs76KpBXXAS7bbZfbpTEjvVq9rFV,31036.0,0.0031036
214,9gYsBHTuEQnKoAY6Jzbx3keyyJRgVosUBzoS9LzRUGFBq9wCCsU,31000.0,0.0031
215,9hk3jLDG7kA3KKDGijiGuEEcXvhW49QZvPuvs33vs7USw6vGFZ8,30869.0,0.0030869
216,9fQpv2QwC6SbicDWyivuBVT94KzPSZUb61SVq6G4weqkyHc5bN4,30865.0,0.0030865
