,address,amount,percentOfTotal
44,9ezUvXqhmxB4pyF1DAUyXYyLpGZoLNBzzD4UhiRsRHuCTc6tAPM,1773333,0.1773333
45,9iNQ7NbyKMfKUN9zKED9YadfDUqNG6ASKGR9y7RGbXSiJYJddq9,1682716,0.1682716
46,9hXGQapjCT4rajABpHdLC2r4pt2Nzsik468uEJuEAcUcJYoK6Yw,1500000,0.15
47,9g7fAbNvKsTUoQHx6CunQ3LhUmFuXwU8vZSU7qKMe94v9UZ2foi,1463544,0.1463544
48,9hBnV23wFNnAfKbG9ewvPtmBHTTN9Hgd78RkRRS9EqpgBts5mhc,1420000,0.142
49,9g1N1xqhrNG1b2TkmFcQGTFZ47EquUYUZAiWWCBEbZaBcsMhXJU,1406432,0.1406432
50,9hKyfyJoWJD5xCYknyQJK5pZSKVXcuh29htJNYuRALcLm7n2a1F,1351000,0.1351
51,9fDBGcQp7YwCWFUca8w27qaecab9cQuCzwHwXazNGKnuCbjV52i,1157122,0.1157122
52,9fXKq8vSPvoX27UFatk6fyyEFm5GMMQgAL7kG4YSJhZvbV4yMkc,1046947,0.1046947
53,9hW3dQPcMcS1xeoyaiKdwTgNYy9TULNMjWdYrEaaTDx85eYbeBs,1037569,0.1037569
54,9ej1HGtyCPHHrEtQkpVavcfCgEEhmYBNUghb7PqpsVkdKLDWUNh,1028083,0.1028083
55,9hB8sQp2aRoMN69DnQ3JrBLrjwqNaB7FyjcHkuhwWkWceQCV1go,1010000,0.101
56,9hSu2WjdEz5m3SP62wPAQS8UYfzsLPJC8TcbggyEYPvqzro5AhL,1010000,0.101
57,9gBgDkpDBros5sdVKWWPshhv73NpW2jpFLykr7XV7AbZ9suhCub,1010000,0.101
58,9fNQj6EUMdj6KTThySLfWkS7YA8vYiNMHHygEqA8tUvyjeWDw6m,1002733,0.1002733
59,9i3oNo2TzhLdy7SQ4tCJuaECD8wtxd76TQf5mp8J6FGVTs4nurE,1001888,0.1001888
60,9eiS35NHisGT4UBRctUziUnXoxGEo5SyHXURyzvV2YqLqrQu3Qz,1001005,0.1001005
61,9hVCpniaM6mbg6EevdHyJtqWBfihRc5QK7cHBrgjs2E1HD3ZhqW,1001000,0.1001
62,9gGzfQcKyouHT9tD5dmKjsSZNbvBqVbuRQ6AAJXaE2K3C5FLUR9,1001000,0.1001
63,9hbmf38iB5JffxgcCjHh3zrvbd5wW73RHLgy29vCw2iUVDLweqC,1001000,0.1001
64,9ebYZSEENAjuaQjC5Kdf71mijQWGdYFYpj1q3JK8tNJbYDgcqcA,1001000,0.1001
65,9eZ24iqjKywjzAti9RnWWTR3CiNnLJDAcd2MenKodcAfzc8AFTu,1000012,0.1000012
66,9iB4ndpUpxPXAftwNxSZHccUGZCPXX8ebB83dxe1o4VdRZ7HDG9,1000000,0.1
67,9gfNjriHRPwDy83RBzi48zBuGoLXbUootcgdgED67sHeVjgJiah,1000000,0.1
68,9gC6a3oZnFGrv66Hs1jYjE3d33cuPZANfttGeH9mWJpShRvdYuM,1000000,0.1
69,9eaMAgePzvTEBYRLy1ApD5eCt2VwCHmuMehDVMJScTgXMb2HpZc,1000000,0.1
70,9eiK7qj8V2GwoNyayWPxC7tmNRhC5PoBtF3E4MywpYvJe7h4uP1,1000000,0.1
71,9gKQSpM4ZUDCG1yVrJtYnMgHbVz1MycxKiysYnNZrGEzBFfwisr,1000000,0.1
72,9fwrcetdQEiLzRBbeU4KZZn7L5VVswhhEzp7YDu7jRWtUCfJGbL,1000000,0.1
73,9f3fEWHUM7CEYMQPNr5vrfRennCdEFcKgRYyxYbHe4eSFTgVgUv,1000000,0.1
74,9g3Z8BZSEbNq2tM2JXaqJUmucHabrSXUJq6n5ZPzFYrfHsZ5Awj,1000000,0.1
75,9iLspUgMtnx4isiVPPqNAtXcNeN4zTZoivkQ1yNWGAJff5p4XH9,1000000,0.1
76,9gtXqh12AXnnsmGtusXPPw3QQUNeQ5V1JGciUd9yGM6upnNmEuS,1000000,0.1
77,9hDc2PEEJLfsjUghC9nWw4WyHKY1tUW2MaK7LfTHULpmUgMWcpJ,1000000,0.1
78,9gdbrZNipnn3Wn1WTxQmJ3ChXvrGaHLRiY96zhQ3rTPokABEcfD,1000000,0.1
79,9f4rFTbQXbq5t5RheAJSAHHuWydVreRNR1bG3effQqtq4HqhNCr,1000000,0.1
80,9fu25s3nBEbLTJD81Jq61TaYcgCuAKBk4pZG4JatN9RxR5HsxwB,1000000,0.1
81,9hj3zqd2J21yYWQQCK9oSdw79iJTKKZAdFBAuVjzXGx8PPFaAmV,1000000,0.1
82,9gbaYtiW6WxT99yzhmvBaBBBPkaUqNkAhcio8YK1HCH4RDgSrnu,1000000,0.1
83,9hyTTDyCKBNKX2ZvFnuUkYmuEsMJYz3gQEyfAjSfsLRS2Yoiwbv,1000000,0.1
84,9gDRYMhFwz2FjAcyYxgSqbwTmRzbkkx6vMujcRPLJWuxWd57q1S,1000000,0.1
85,9ffgqt3PFwK2Why9FNJhHNs5EWh2Z9FqueSWJPnNDkp25yBdsxv,1000000,0.1
86,9h6Z12XjSaJKZP5Dqx2yVpGCYSifACpKWLA5JrtCKtbWPhk3JdT,1000000,0.1
87,9gP5WG8n5cogDHUoQtmEKuyks6AeFoy3oekDH4PmMdD51UHEgjD,1000000,0.1
88,9fWSSb3Xidu7FUhLGnRDF3FxcgAPV4uALQ8figR9WozmtPANkvB,1000000,0.1
89,9iGeSt6sXh51iRm9wkGzcDqJHT13JZZQWpeUSeYZRSZjexGofMT,1000000,0.1
90,9ehJZvPDgvCNNd2zTQHxnSpcCAtb1kHbEN1VAgeoRD5DPVApYkk,1000000,0.1
91,9gcTpn4McsWwZjXAP1JCk4Q9S2nas2ibcMczeWUDTb9gf5qt9LS,1000000,0.1
92,9hbN8Qe8ZVgJXJFdnqCEbPbyJJptuc5CEzv71kZ9NRBmFsEW4My,966912,0.0966912
93,9fi3wcNK4UWNi4Vxn8V1AAh9khKaJ9C19xzqEDQdvXVgzprD6rB,918849,0.0918849
94,9hYdxbwGBaNA6X6Awe7gBS7QCWYGF9ahVDjobyCaRUmwxo5wBeA,910000,0.091
95,9hX1nJkJu2hcsL2mQmwEtAsJUd94cyryzBFjXYSSzMdn6N87uDR,900000,0.09
96,9fekZeZxR7ceeKXkovzyuxYGLpQKQ1SgrZFzzZsWnSaknPLQ6vm,884354,0.0884354
97,9hmPbT4RYW3TPwFrQQWx7UK5hMSYqoMSEhj4dxoaxwuCDDph6nA,791265,0.0791265
98,9hN4fajPkDccsjWckKVQv8GuS7hG6ruYmG7s2XFYfi8QgK5MifG,615876,0.0615876
99,9hYyTkVtRSQy4TEwimVLiG6TsmYtDVc66xmG15Rqk6SnYR1FHyG,572929,0.0572929
100,9h9G2MFMkD7CtE1GnmYcHwSGQvFoLpSGsKVeYyGLGUvpNGLVdSH,524637,0.0524637
101,9hmm47uZgo5wA6mVQX1zCbYUefxKk6HBw5Y8RJP3vfzSx5X7YaS,510253,0.0510253
102,9gSwoTXQc6sihwB1A8FVCSTSmi2vxsFSZuAEnvDPT1TUQWFgX4V,510000,0.051
103,9ecA5NzAJuH2hYMn8aginQHg6T4uumwaoyp2ub2W12PqDhL9tvG,501000,0.0501
