,address,amount,percentOfTotal
93,9g6x7nqBgM717ek11FKw7q1pPBK3hchdzEDcVuQtjBbLKjundyY,11628.50517985,0.05814252589925
94,9gMQaFu2CxEo8yQYG9wLo6UniCxQd6f4H9Lm3aGTsEwW6ULPumJ,11485.58982318,0.0574279491159
95,9gdYALgZUpohXMJynWJed6JQMY4XDCjALhtmcQEHqcvW1H4bnhv,11212.52163358,0.0560626081679
96,9i5J5AXdvv2tj2NKWvjLoRktYUSQnKnsVQE63gVJzQM4HFo5ciN,10807.87018376,0.0540393509188
97,9gpawMzx93C5vXeNT59VwAcgsFkos8SfvM5vVEgebbSk3sjGmvq,10656.141006,0.05328070503
98,9g9QcTLoLVh6xcyTmgKnRtnMWPgEtQHsUXDMKh6mvRBmGXhWJwP,10531.620074620001,0.0526581003731
99,9fNQj6EUMdj6KTThySLfWkS7YA8vYiNMHHygEqA8tUvyjeWDw6m,10361.2665277,0.0518063326385
100,9fzLSXDt1ntaBKBvD6rqhFDDRKiCkc8Kfs5fZzGRfCcHXhLZRyW,10300.004758770001,0.05150002379385
101,9gxEcpuNSoCRe9YwNEAn2FAA2C58SGTMeBgP6BdPo3V36CZb1Di,10250.0,0.05125
102,9iNAaFuV8hVDMEnz7sVmDggTQJhFwZuAsZvHBqNUvc2XGXksChh,10250.0,0.05125
103,9iEghn5UjAjBK6USaeruDxyKpXH88vF6MvP4jRaBnjwW8XVJ93X,10250.0,0.05125
104,9eyRb3Hh3QnwoT7ZzP8L4fVLCVThDmDvDe3txMhZw5EWahKYLy5,10250.0,0.05125
105,9gruLaqYzDJZPAjbMeU7FRe6bxBuKXh8PzMFYeJdeegmkqTQQPK,10250.0,0.05125
106,9h92qn52gcV6Fp8YyLkJrCgWVE19TwTprDQhEQPx9MbGNQuNS34,10250.0,0.05125
107,9fvsm3ZtSHcZJ71SchcRViGmN35s3taCJNZSBYRWTYg7RJKwMVM,10250.0,0.05125
