,address,amount,percentOfTotal
368,9gXwPJAFnfao9AFk9bqtc4rbkXk1C5inZigmFisA1tc4GjvBnqN,883.33,0.0002208325
369,9hAheBQfbJvixhNhMnYJUe9axvsXMemfAsfrDPK5mXVGf4YcVix,876.73,0.0002191825
370,9fUchc6qyVcjg3LW7P3fMHq5XFQ9jLy8z9b6eSbtk6maFNoUJMC,834.75,0.0002086875
371,9gvsZ5yKcQjfR8eDWA7bx21JcBmfCeyjMGLyqXLy8SfPfCs86WF,834.53,0.0002086325
372,9hH49UfhTdhyRpyfeK6knJUx79fqNKeYS3Y5xy9LrB421zzYAX7,833.33,0.0002083325
373,9h2WndraCkyZH72gtohcgkKd2yu1k7iafDRYrPVJuy3PT9xway7,832.51,0.0002081275
374,9hbNu6G3xLgWdZF4DCDyBPQo9ALQ4v5nsQTXQ2xyNg4hfXWYGEL,818.9300000000001,0.0002047325
375,9fbpdCPtr9yKwHsc4riKNxAfJMS5oW6ZFZo8fowDtSFp28JBdV3,813.77,0.0002034425
376,9fB7uJZs4AcdrCEAsn4ccGY1DRtkGkwiRjYLsVDoXM71asEdSbr,799.04,0.00019976
377,9fuRB81c7qYKyC7xuPJ5rX1HLGgNeRvLLaqkCPgi2xN9hv7KFwP,796.54,0.000199135
378,9fdLybrcPGxwoekqTV62MuvJmXYZRtVzD4XFpG3WfhTUP1t4Yh2,781.0,0.00019525
379,9hkwSkr6ZCr3EPnbZoQEud35essX9iSU5zu4P2EwzFZvUSqrAk8,776.12,0.00019403
380,9fxKWntGpMpp29DhEA4cJxfpaua8eSzXYfDHaYWQWGdLfvPsLrQ,758.0,0.0001895
381,9hdQ95sJp1QJBtsP76mimKtSSzctbRxPUBUc29mAL6uhBsUHrHW,744.38,0.000186095
382,9eXtqhtDQnra95DSiBATb53LJfY4pz23NB6pf8oh5jUxGumsP9P,743.75,0.0001859375
383,9g7UzqBHDE3325gixRdfPgdZDohQ1tDSd5dD3bJt51qWyKrtFhE,725.69,0.0001814225
384,9i3oNo2TzhLdy7SQ4tCJuaECD8wtxd76TQf5mp8J6FGVTs4nurE,724.0,0.000181
385,9gzrMdjXLfrsiqcv7kCMWmS6hX3iVyMLNnW7YAe53Jv2uqohuju,723.8000000000001,0.00018095
386,9gk8e4gv6DyZzTifLVhRPcieuHzKe4hfZYHe6eVZsRQya1xLqc3,700.0,0.000175
387,9gikipSfjXVegm8gVMUpkritJfrqVJFEjnFp3toMMrLr6UV7gEv,700.0,0.000175
388,9gVviCWg7wx99onngAesioMZ8djArZFhjbpbcmxmHTbTWzP4M3p,672.0,0.000168
389,9euxEKCYak6LfKnVhHCAM9QWrRdKkKZpekKQB7MHGNBg99DSfud,649.1800000000001,0.000162295
390,9fWU7knVn9VnyPwukHcNpLagJQ9rc7fmeQmNVEhu9WFLaiSHRTE,645.69,0.0001614225
391,9gpawMzx93C5vXeNT59VwAcgsFkos8SfvM5vVEgebbSk3sjGmvq,629.39,0.0001573475
392,9hTBM8Q7gnxXbMiS9ETaRTxC8rf9dXQWPZe8iipSsWwKF4MyDhG,615.0,0.00015375
393,9fwBuBqfMWGVpXptud2j87KwCetoTTGcUeU8X2XFghydnHTmRyy,606.6800000000001,0.00015167
394,9fcM5RWnAjmP4vx5bnW6yohB6H9bLq8sJbaPLHtwZLtQPB32Pvy,605.22,0.000151305
395,9fiwUpZM5ZVZoj2Xqk54EhNM68N2HUkxvFby8ww17b2fjZ3yLwj,601.82,0.000150455
396,9hM8kHoeYU2fYBu8Y1mFUakpRCMcssFc4QErcj3Az1KH4HYKy9f,585.76,0.00014644
